_SAPPCTXT_HEADER_               002 8000 CHART NO 1100 OK 
26516                           017 "Brukerdefinert"
26517                           017 "Type:"
26519                           017 "Farge:"
26521                           017 "Skygge"
26522                           016 "Forhåndsvisning"
26523                           022 "Transparent"
26525                           018 "Modell:"
26526                           015 "Bilde"
26527                           025 "Åpne bilde..."
26600                           019 "Trendlinje"
26601                           031 "Trend-/regresjonstype"
26603                           026 "Trendlinjenavn:"
26605                           020 "Automatisk"
26606                           018 "Trend"
26607                           019 "Fremover:"
26610                           020 "Bakover:"
26613                           019 "Perioder:"
26616                           036 "Presenter formel i diagram"
26700                           015 "Skalering"
26701                           015 "Skalering"
26702                           029 "Skalering rubrikkakse"
26703                           033 "Verdiakse skjærer ved:"
26705                           057 "Antall rubrikker mellom aksemerketikettene på delskala:"
26707                           051 "Antall rubrikker mellom aksemerkene på delskala:"
26709                           048 "Verdiakse skjærer mellom rubrikkene"
26710                           038 "Kategorier i o&mvendt rekkefølge"
26712                           020 "Automatisk"
26713                           040 "Antall synlige rubrikker:"
26715                           036 "Start ved rubrikknr.:"
26800                           015 "Skalering"
26801                           027 "Skalering serieakse"
26802                           053 "Antall serier mellom aksemerkeetikettene på delskala:"
26804                           047 "Antall serier mellom aksemerkene på delskala:"
26806                           034 "Serier i omvendt rekkefølge"
26900                           015 "Skalering"
26901                           026 "Skalering verdiakse"
26902                           016 "Type:"
26904                           021 "Avstand til diagram:"
26907                           014 "Automatisk"
26908                           019 "Minimumsverdi:"
26911                           019 "Maksimumsverdi:"
26914                           022 "Hovedintervall:"
26919                           018 "Format:"
26921                           022 "Hjelpeintervall:"
26926                           018 "Format:"
26928                           036 "Rubrikkakse skjærer ved:"
26931                           034 "Verdier i omvendt rekkefølge"
26933                           025 "Bredde for en dag:"
26936                           027 "Visning starter ved:"
26938                           030 "Linje ved faktisk tid"
26939                           035 "Vis fullstendige tidsenheter"
26940                           027 "Fargelegg helgedager"
26942                           015 "Dato:"
27000                           017 "Alternativer"
27001                           016 "Statisk"
27005                           038 "Størrelse på andre tegneområde"
27008                           016 "Grader"
27009                           023 "Diagramdybde:"
27013                           039 "Andre tegneområde inneholder:"
27016                           016 "Verdier"
27018                           031 "Varier farger etter datapunkt"
27019                           025 "Spennviddelinjer"
27020                           023 "Positivt/neg. avvik"
27021                           026 "Vist størrelse"
27022                           030 "Område for bobler"
27023                           034 "Diameter for bobler"
27024                           024 "Del opp serie med:"
27026                           036 "Positive/neg. avviksområder"
27027                           022 "Verdiområder"
27029                           017 "Tilføy..."
27030                           018 "Behandle..."
27031                           017 "Slett"
27033                           024 "Linje først opp"
27034                           020 "Automatisk"
27100                           020 "Diagramtype"
27101                           022 "Diagramtype:"
27103                           025 "Undertype:"
27105                           033 "Tilordne alle dataserier"
27200                           015 "Verdi"
27201                           018 "X-akse:"
27204                           018 "Y-akse:"
27207                           020 "Diameter:"
27300                           021 "Verdiområde"
27301                           017 "Minimum"
27302                           017 "Tittel:"
27304                           020 "Automatisk"
27305                           019 "Usynlig"
27306                           016 "Verdi:"
27309                           017 "Maksimum"
27310                           017 "Tittel:"
27312                           020 "Automatisk"
27313                           019 "Usynlig"
27314                           016 "Verdi:"
27317                           017 "Optimum"
27318                           017 "Tittel:"
27320                           019 "Automatisk"
27321                           019 "Usynlig"
27322                           016 "Verdi:"
27325                           020 "Posisjon:"
27326                           020 "Posisjon:"
27327                           020 "Posisjon:"
27400                           015 "Tittel"
27401                           015 "Chart"
27403                           028 "Rubrikkakse (X):"
27405                           025 "Verdiakse (Y):"
27407                           038 "Sekundær rubrikkakse (X):"
27409                           035 "Sekundær verdiakse (Y):"
27411                           019 "Kan forskyves"
27412                           019 "Kan endres"
27413                           017 "Tittel:"
27414                           017 "Tittel:"
27415                           017 "Tittel:"
27416                           016 "Tittel:"
27417                           016 "Tittel:"
27418                           016 "Enhet:"
27419                           016 "Enhet:"
27420                           015 "Enhet:"
27421                           015 "Enhet:"
27500                           020 "Datatabell"
27501                           026 "Vis datatabell"
27502                           027 "Vis forklaringssymbol"
27600                           029 "Normalfordeling"
27601                           029 "Betegnelse:"
27603                           020 "Automatisk"
27604                           016 "Middelverdi:"
27606                           030 "Standardavvik:"
27608                           032 "Presenter navn i diagram"
27700                           019 "Kvadranter"
27701                           016 "Middelpunkt"
27702                           018 "X-akse:"
27705                           018 "Y-akse:"
27708                           016 "Farger"
27709                           019 "Oppe til venstre:"
27711                           020 "Oppe til høyre:"
27713                           023 "Nede til venstre:"
27715                           023 "Nede til høyre:"
27719                           018 "Synlig"
27800                           028 "Verdiområde dataserie"
27801                           016 "Fra:"
27804                           014 "Til:"
27807                           017 "Farge:"
27900                           017 "Alternativer"
27901                           019 "Kolonner:"
27903                           015 "Linjer"
27906                           017 "Tittel:"
27908                           018 "Synlig"
27910                           018 "Posisjon"
27911                           017 "Brukerdefinert"
27912                           020 "Automatisk"
27913                           019 "Kan forskyves"
28000                           017 "Alternativer"
28001                           017 "Tittel:"
28003                           018 "Synlig"
28004                           017 "Bredde:"
28007                           020 "Automatisk"
28008                           021 "Justering:"
28010                           016 "Type:"
28012                           029 "Tillat behandling"
28100                           017 "Alternativer"
28101                           028 "Tilpass objektstørrelser"
28103                           024 "Synlige linjer:"
28106                           030 "Presenter tomme verdier"
28107                           021 "Ikke"
28108                           022 "Interpolert"
28109                           014 "Null"
28200                           016 "Knapp"
28201                           016 "Tittel:"
28203                           017 "Bredde:"
28206                           018 "Høyde:"
28209                           025 "Vertikal avstand:"
28212                           028 "Horisontal avstand:"
28216                           020 "Posisjon:"
28300                           014 "Celle"
28301                           020 "Forklaringssymbol"
28302                           018 "Serie:"
28305                           017 "Punkt:"
28308                           021 "Brukertabeller"
28400                           017 "Peker"
28401                           023 "Pekeretikett"
28402                           017 "Etikett:"
28500                           017 "Alternativer"
28501                           018 "Posisjon"
28502                           019 "Oppe til venstre:"
28503                           020 "Oppe til høyre:"
28600                           017 "Alternativer"
28601                           018 "Posisjon"
