_SAPPCTXT_HEADER_               002 8000 CHART NO 1100 OK 
18003                           022 "Stil:"
18005                           016 "Størrelse"
18007                           017 "Farge:"
18009                           017 "Effekter"
18010                           024 "Gjennomstreket"
18011                           020 "Understreket"
18012                           017 "Forhåndsvisning"
18013                           019 "Graffiti"
18600                           015 "Skriv ut"
18601                           017 "Skriver"
18604                           024 "Utskrift til fil"
18605                           024 "Egenskaper..."
18606                           021 "Utskriftsområde"
18607                           014 "Alt"
18608                           022 "Sider fra:"
18611                           014 "til:"
18614                           016 "Kopier"
18615                           028 "Antall kopier:"
18619                           018 "Sorter"
18620                           024 "Sidevisning"
18621                           024 "Definer side..."
18700                           014 "Side"
18701                           022 "Papirstørrelse:"
18703                           025 "Utskriftskvalitet:"
18705                           021 "Justering"
18706                           019 "Vertikal"
18707                           021 "Horisontal"
18708                           016 "Midtstilt"
18709                           023 "Horisontal"
18710                           021 "Vertikal"
18800                           022 "Marger"
18801                           016 "Marger"
18802                           016 "Venstre:"
18805                           017 "Høyre:"
18808                           015 "Topp:"
18811                           018 "Bunn:"
18814                           017 "Avstander"
18815                           018 "Topptekst:"
18818                           018 "Bunntekst:"
18821                           017 "Forhåndsvisning"
18900                           017 "Alternativer"
18901                           017 "Skalering"
18902                           017 "Skaler:"
18905                           018 "Tilpass til:"
18908                           017 "Side(r)"
18909                           019 "Vertikal"
18910                           021 "Horisontal"
18911                           021 "Alternativer..."
19000                           015 "Skriv ut"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "DHM,"
20017                           114 "Skrivermargene er bredere enn sidemargene.\nVil du tilpasse sidemargene til siden?"
20018                           056 "Velg en skriver hvis du vil skrive ut"
20019                           020 "Utskriftsformat"
20020                           014 "Automatisk"
20023                           041 "Ikke nok tilgjengelige ressurser"
20024                           029 "Feil ved lagring"
20025                           030 "Feil ved lasting"
20026                           017 "Farge:"
20027                           022 "I forgrunnen:"
20028                           022 "Bakgrunn:"
20029                           023 "Skraveringsfarge:"
20030                           016 "Fra:"
20031                           014 "Til:"
20032                           019 "Mønster:"
20033                           017 "Skravering:"
20034                           020 "Fargeskala:"
20064                           019 "Skriv ut..."
20066                           024 "Utskriftsformat..."
20072                           030 "Lukk sidevisning"
20087                           017 "Ukjent"
20088                           014 "Tynn"
20089                           021 "Ekstra lett"
20090                           015 "Lett"
20091                           017 "Vanlig"
20092                           016 "Middels"
20093                           018 "Halvfet"
20094                           014 "Fet"
20095                           020 "Ekstra fet"
20096                           015 "Tung"
20097                           021 "Ekstra tung"
20098                           017 "Kursiv"
20099                           017 "Ukjent"
20105                           019 "Understreket"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Objekt"
20110                           017 "Objekter"
20111                           033 "Kan ikke lese filen"
20112                           081 "For lite minne. Lukk en eller flere applikasjoner."
20113                           044 "Stilen du har valgt, finnes ikke"
20114                           058 "Størrelsen på skrifttypen må ligge mellom 1 og 1635"
20115                           089 "Skrifttypen du har valgt, finnes ikke i systemet. Vil du likevel bruke den?"
20119                           020 "Objekt..."
20128                           057 "Zoomfaktoren må ligge mellom 25 % og 400 %"
20141                           055 "Oppgi en verdi som er større eller lik 0"
20142                           055 "Oppgi en verdi som er større enn eller lik 1"
20145                           079 "Antall sider som skal tilpasses, må ligge mellom 1 og 100"
20147                           014 "Høy"
20148                           016 "Middels"
20149                           013 "Lav"
20150                           016 "Utkast"
20154                           023 "Formater forklaring"
20162                           091 "Ingen skriver er installert eller ingen skriver er def. som standardskriver"
22000                           031 "Formater diagramområde..."
22001                           024 "Diagramtype..."
22002                           025 "Datakilde..."
22003                           027 "Diagramalternativer..."
22004                           021 "Formater tegneområde"
22005                           020 "Diagramtype"
22006                           023 "Diagramalternativer"
22007                           032 "Formater dataserie"
22008                           017 "Slett"
22009                           028 "Formater dataserie"
22010                           019 "Overlapping:"
22011                           014 "Angre"
22012                           027 "Forbindelseslinjer"
22014                           030 "Størrelse på andre tegneområde"
22015                           021 "Fall-linjer"
22018                           032 "Vinkel på første segment:"
22020                           030 "Størrelse på hull:"
22021                           012 "IV"
22022                           032 "Vis negative bobler"
22023                           033 "Tilpass boblestørrelse til:"
22024                           022 "% av standard"
22025                           031 "Formater datapunkt..."
22026                           027 "Formater datapunkt"
22027                           032 "Formater dataetiketter..."
22028                           028 "Formater dataetiketter"
22029                           031 "Formater dataetikett..."
22030                           027 "Formater dataetikett"
22031                           018 "Standard"
22032                           025 "Formater akse..."
22033                           021 "Formater akse"
22034                           060 "Minimumsverdi må være større enn null"
22035                           055 "Minimum må være mindre enn maksimum"
22036                           031 "Formater linjer i rutenett"
22037                           026 "Formater linjer i rutenett"
22038                           027 "Formater fall-linjer"
22039                           031 "Formater fall-linjer"
22040                           029 "Formater serielinjer"
22041                           033 "Formater serielinjer..."
22042                           027 "Formater forklaringssymbol"
22043                           029 "Formater forklaringsindeks"
22044                           031 "Formater forklaringssymbol..."
