_SAPPCTXT_HEADER_               002 8000 CHART ET 1904 OK 
18005                           016 "Suurus:"
18007                           017 "Värv:"
18009                           017 "Efektid"
18010                           024 "Läbikriipsutus"
18011                           020 "Allakriipsutus"
18012                           017 "Eelvaade"
18013                           019 "Grafiti"
18600                           015 "Prindi"
18601                           017 "Printer"
18604                           024 "Prindi faili"
18605                           024 "Atribuudid..."
18606                           021 "Printimisvahemik"
18607                           014 "Kõik"
18608                           022 "Alates lk:"
18611                           014 "kuni lk:"
18614                           016 "Eksemplarid"
18615                           028 "Eksemplaride arv:"
18619                           018 "Eksemplarhaaval"
18620                           024 "Prindi eelvaade"
18621                           024 "Lehekülje seadistus..."
18700                           014 "Lehekülg"
18701                           022 "Paberiformaat:"
18703                           025 "Prindikvaliteet"
18705                           021 "Suund"
18706                           019 "Vertikaalne"
18707                           021 "Horisontaalne"
18708                           016 "Keskel"
18709                           023 "Horisontaalselt"
18710                           021 "Vertikaalselt"
18800                           022 "Leheküljeäärised"
18801                           016 "Ääris"
18802                           016 "Vasakul:"
18805                           017 "Paremal:"
18808                           015 "Üleval:"
18811                           018 "All:"
18814                           017 "Veerised"
18815                           018 "Päis:"
18818                           018 "Jalus:"
18821                           017 "Eelvaade"
18900                           017 "Suvandid"
18901                           017 "Suurendus"
18902                           017 "Suurenda:"
18905                           018 "Mahuta suurusele:"
18908                           017 "Lehed"
18909                           019 "Vertikaalne"
18910                           021 "Horisontaalne"
18911                           021 "Su&vandid..."
19000                           015 "Prindi"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "PTM,"
20017                           114 "Printeriveerised on suuremad kui leheküljeveerised.\nKas kohandada veerised leheküljega?"
20018                           056 "Printimiseks tuleb valida printer."
20019                           020 "Lehekülje seadistus"
20020                           014 "Automaatne"
20023                           041 "Ressursse pole piisavalt"
20024                           029 "Salvestamisel ilmnes tõrge."
20025                           030 "Tõrge laadimisel"
20026                           017 "Värv:"
20027                           022 "Esiplaan:"
20028                           022 "Taust:"
20029                           023 "Viirutuse värv:"
20030                           016 "Alates:"
20031                           014 "Kuni:"
20032                           019 "Muster:"
20033                           017 "Viirutus:"
20034                           020 "Gradient:"
20064                           019 "&Prindi..."
20066                           024 "Lehekülje häälestus..."
20072                           030 "Sule prindi eelvaade"
20087                           017 "Tundmatu"
20088                           014 "Õhuke"
20089                           021 "Ülikerge"
20090                           015 "Kerge"
20091                           017 "Tavaline"
20092                           016 "Keskmine"
20093                           018 "Poolpaks"
20094                           014 "Paks"
20095                           020 "Ülipaks"
20096                           015 "Raske"
20097                           021 "Üliraske"
20098                           017 "Kursiiv"
20099                           017 "Tundmatu"
20105                           019 "Allakriipsutus"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Objekt"
20110                           017 "Objektid"
20111                           033 "Faili ei saadud lugeda!"
20112                           081 "Mälu pole piisavalt. Sulgege üks või mitu rakendus(t)."
20113                           044 "Valitud laadi pole olemas."
20114                           058 "Fondisuurus peab olema vahemikus 1 kuni 1635."
20115                           089 "Valitud font pole teie süsteemis saadaval. Kas soovite seda siiski kasutada?"
20119                           020 "Objekt..."
20128                           057 "Suumiprotsent peab olema vahemikus 25% kuni 400%."
20141                           055 "Sisestage väärtus, mis on suurem või võrdne kui 0!"
20142                           055 "Sisestage väärtus, mis on suurem või võrdne kui 1!"
20145                           079 "Korrigeeritavate lehekülgede arv peab olema vahemikus 1 kuni 100!"
20147                           014 "Kõrge"
20148                           016 "Keskmine"
20149                           013 "Madal"
20150                           016 "Mustand"
20154                           023 "Vorminda legend"
20162                           091 "Ühtegi printerit pole installitud või määratletud standardprinteriks."
22000                           031 "Vorminda diagrammiala..."
22001                           024 "Diagrammitüüp..."
22002                           025 "Andmeallikas..."
22003                           027 "Diagrammisuvandid..."
22004                           021 "Vorminda diagrammiala"
22005                           020 "Diagrammitüüp"
22006                           023 "Diagrammisuvandid"
22007                           032 "Vorminda andmesarjad..."
22008                           017 "K&ustuta"
22009                           028 "Vorminda andmesarjad"
22010                           019 "Ülekate:"
22011                           014 "Võta tagasi"
22012                           027 "Ühendusjooned"
22014                           030 "Teise diagrammiala suurus"
22015                           021 "Viitejooned"
22018                           032 "Esimese sektori nurk:"
22020                           030 "Siseava suurus:"
22021                           012 "KN"
22022                           032 "Kuva negatiivsed mullid"
22023                           033 "Kohanda mulli suurus üksusega:"
22024                           022 "% vaikeväärtusest"
22025                           031 "Vorminda andmepunkt..."
22026                           027 "Vorminda andmepunkt"
22027                           032 "Vorminda andmesildid..."
22028                           028 "Vorminda andmesildid"
22029                           031 "Vorminda andmesilt..."
22030                           027 "Vorminda andmesilt"
22031                           018 "Standardne"
22032                           025 "Vorminda telg..."
22033                           021 "Vorminda telg"
22034                           060 "Miinimumväärtus peab olema suurem kui null."
22035                           055 "Miinimum peab olema väiksem kui maksimum."
22036                           031 "Vorminda ruudujooned..."
22037                           026 "Vorminda ruudujooned"
22038                           027 "Vorminda viitejooned"
22039                           031 "Vorminda viitejooned..."
22040                           029 "Vorminda sarjajooned"
22041                           033 "Vorminda sarjajooned..."
22042                           027 "Vorminda legendivõti"
22043                           029 "Vorminda legendiindeks"
22044                           031 "Vorminda legendivõti..."
22045                           033 "Vorminda legendiindeks..."
22046                           028 "Vorminda legend..."
22047                           026 "Vorminda diagramm..."
22048                           022 "X-veatulbad"
22049                           022 "Y-veatulbad"
22050                           031 "Vorminda veatulbad..."
22051                           027 "Vorminda veatulbad"
22052                           021 "Andmeallikas"
22053                           021 "Andmesarjad"
22054                           018 "Väärtused:"
22055                           022 "X – väärtused:"
22056                           028 "Sobimatu viide!"
22057                           035 "Vorminda vahemikujooned..."
22058                           031 "Vorminda vahemikujooned"
22059                           017 "Valmis"
22060                           022 "Diagrammiviisard"
22061                           028 "Vorminda posit. tulbad..."
22062                           024 "Vorminda posit. tulbad"
22063                           030 "Vorminda negat. tulbad..."
22064                           026 "Vorminda negat. tulbad"
22065                           049 "Teine diagrammielement sisaldab viimased:"
22066                           016 "Väärtused"
22067                           056 "Teine diagramm sisaldab väärtused, mis on väiksemad kui:"
22068                           056 "Teine diagramm sisaldab väärtused, mis on väiksemad kui:"
22069                           057 "Sektordiagrammi kilde saate nihutada hiire abil."
22070                           065 "Maks.-miin.-sulg. väärtusega börsidiag. vajab kolme andmesarja."
22074                           036 "Diagrammitüüpi ei saa kasutada."
22075                           026 "Muuda väärtust..."
22076                           032 "Vorminda väärtusevahemikku..."
22077                           028 "Vorminda väärtusevahemikku"
22078                           027 "Vorminda diagrammiala"
