_SAPPCTXT_HEADER_               002 8000 CHART ET 1904 OK 
26007                           026 "Kuva mulli suurus"
26009                           030 "Kuva silt ja väärtus"
26010                           029 "Kuva X- ja Y-väärtused"
26011                           036 "Kuva silt ja mulli suurus"
26100                           016 "Legend"
26101                           014 "Tüüp"
26103                           027 "Viitemullid"
26104                           018 "Nähtav"
26105                           024 "Maksimumsuurus:"
26108                           019 "Teisaldatav"
26109                           025 "Kuva nõudmisel"
26200                           014 "Rida"
26201                           014 "Rida"
26202                           020 "Automaatne"
26203                           017 "Kohandatud"
26204                           017 "Laad:"
26206                           017 "Värv:"
26208                           017 "Sile"
26209                           016 "Märgis"
26210                           020 "Automaatne"
26211                           015 "&Mitte ükski"
26212                           017 "Kohandatud"
26213                           017 "Laad:"
26215                           022 "Esiplaan:"
26217                           022 "Taust:"
26219                           016 "Suurus:"
26222                           016 "Näidis"
26223                           016 "Ülaosa"
26226                           016 "Suurus:"
26227                           017 "Kaal:"
26300                           016 "Arv"
26301                           020 "Kategooria:"
26303                           026 "Arvuvormingud:"
26305                           016 "Näidis"
26306                           016 "Staatiline"
26307                           025 "Arvuvorming:"
26400                           015 "Kuju"
26401                           017 "Kujud:"
26500                           017 "Muster"
26501                           014 "Täida"
26502                           020 "Automaatne"
26503                           016 "Värv"
26504                           018 "Muster"
26505                           019 "Gradient"
26506                           018 "Tekstuur"
26507                           016 "Staatiline"
26509                           016 "Staatiline"
26511                           016 "Staatiline"
26513                           022 "Ruumilised efektid"
26514                           016 "Ääris"
26515                           020 "Automaatne"
26516                           017 "Kohandatud"
26517                           017 "Laad:"
26519                           017 "Värv:"
26521                           017 "Vari"
26522                           016 "Näidis"
26523                           022 "Läbipaistev"
26525                           018 "Muster:"
26526                           015 "Pilt"
26527                           025 "Ava pilt..."
26600                           019 "Trendijoon"
26601                           031 "Trendi-/regressioonitüüp"
26603                           026 "Trendijoone nimi:"
26605                           020 "Automaatne"
26606                           018 "Prognoos"
26607                           019 "Edasi"
26610                           020 "Tagasi"
26613                           019 "Perioodid:"
26616                           036 "Kuva valem diagrammil"
26700                           015 "Mastaap"
26701                           015 "Mastaap"
26702                           029 "Kategooriatelje mastaap"
26703                           033 "Väärtusetelje lõikumispunkt:"
26705                           057 "Kriipsmärgisesiltide vaheliste kategooriate arv:"
26707                           051 "Kriipsmärgisesiltide vaheliste kategooriate arv:"
26709                           048 "Kategooriatevaheliste väärtusetelje ristide arv"
26710                           038 "Kategooriad pööratud järjestuses"
26712                           020 "Automaatne"
26713                           040 "Nähtavate kategooriate arv:"
26715                           036 "Alguskategooria number:"
26800                           015 "Mastaap"
26801                           027 "Sarjatelje mastaap"
26802                           053 "Kriipsmärgisesiltide vaheliste sarjade arv:"
26804                           047 "Kriipsmärgisesiltide vaheliste sarjade arv:"
26806                           034 "Sarjad pööratud järjestuses"
26900                           015 "Mastaap"
26901                           026 "Väärtusetelje mastaap"
26902                           016 "Tüüp:"
26904                           021 "Lünga laius:"
26907                           014 "Automaatne"
26908                           019 "Miinimum:"
26911                           019 "Maksimum:"
26914                           022 "Põhiühik:"
26919                           018 "Vorming:"
26921                           022 "Abiühik:"
26926                           018 "Vorming:"
26928                           036 "Kategooriatelje ristumispunkt:"
26931                           034 "Väärtused pööratud järjestuses"
26933                           025 "Päeva laius:"
26936                           027 "Vaate algus:"
26938                           030 "Praeguse aja joon"
26939                           035 "Kuva täielikud ajaühikud"
26940                           027 "Värvilised puhkepäevad"
26942                           015 "Kuupäev:"
27000                           017 "Suvandid"
27001                           016 "Staatiline"
27005                           038 "Teise diagrammiala suurus"
27008                           016 "Kraad"
27009                           023 "Diagrammi sügavus:"
27013                           039 "Teine diagrammielement sisaldab:"
27016                           016 "Väärtused"
27018                           031 "Punktikaupa varieeruvad värvid"
27019                           025 "Maksimum-miinimumjooned"
27020                           023 "Pos.-neg. tulbad"
27021                           026 "Suurus esindab"
27022                           030 "Mullide pindala"
27023                           034 "Mullide läbimõõt"
27024                           024 "Sarja jaotusalus:"
27026                           036 "Pos./neg. hälbega alad"
27027                           022 "Väärtusevahemikud"
27029                           017 "Lisa..."
27030                           018 "Redigeeri..."
27031                           017 "Eemalda"
27033                           024 "Joon esmalt üles"
27034                           020 "Automaatne"
27100                           020 "Diagrammitüüp"
27101                           022 "Diagrammitüüp:"
27103                           025 "Diagrammi alamtüüp:"
27105                           033 "Määra kõigile andmeridadele"
27200                           015 "Väärtus"
27201                           018 "X-telg:"
27204                           018 "Y-telg:"
27207                           020 "Diameeter:"
27300                           021 "Väärtusevahemik"
27301                           017 "Miimimum"
27302                           017 "Tiitel:"
27304                           020 "Automaatne"
27305                           019 "Nähtamatu"
27306                           016 "Väärtus:"
27309                           017 "Maksimum"
27310                           017 "Tiitel:"
27312                           020 "Automaatne"
27313                           019 "Nähtamatu"
27314                           016 "Väärtus:"
27317                           017 "Optimum"
27318                           017 "Tiitel:"
27320                           019 "Automaatne"
27321                           019 "Nähtamatu"
27322                           016 "Väärtus:"
27325                           020 "Koht:"
27326                           020 "Koht:"
27327                           020 "Koht:"
27400                           015 "Tiitel"
27401                           015 "Diagramm"
27403                           028 "Kategoriatelg (X):"
27405                           025 "Väärtusetelg (Y):"
27407                           038 "Sekundaarne kategooriatelg (X):"
27409                           035 "Sekundaarne väärtusetelg (Y):"
27411                           019 "Teisaldatav"
27412                           019 "Redigeeritav"
27413                           017 "Tiitel:"
27414                           017 "Tiitel:"
27415                           017 "Tiitel:"
27416                           016 "Tiitel:"
27417                           016 "Tiitel:"
27418                           016 "Ühik:"
27419                           016 "Ühik:"
27420                           015 "Ühik"
27421                           015 "Ühik"
27500                           020 "Andmetabel"
27501                           026 "Kuva andmetabel"
27502                           027 "Kuva legendivõtmed"
27600                           029 "Normaaljaotus"
27601                           029 "Jaotuse nimi:"
27603                           020 "Automaatne"
27604                           016 "Keskväärtus:"
27606                           030 "Standardhälve:"
27608                           032 "Kuva nimi diagrammil"
27700                           019 "Kvadrandid"
27701                           016 "Keskel"
27702                           018 "X-telg:"
27705                           018 "Y-telg:"
27708                           016 "Värvid"
27709                           019 "Üleval-vasakul:"
27711                           020 "Üleval-paremal:"
27713                           023 "All-vasakul:"
27715                           023 "All-paremal:"
27719                           018 "Nähtav"
27800                           028 "Väärtusevahemiku andmesarjad"
27801                           016 "Alates:"
27804                           014 "Kuni:"
27807                           017 "Värv:"
27900                           017 "Suvandid"
27901                           019 "Veerud:"
27903                           015 "Read"
27906                           017 "Tiitel:"
27908                           018 "Nähtav"
27910                           018 "Koht"
27911                           017 "Kohandatud"
27912                           020 "Automaatne"
27913                           019 "Teisaldatav"
28000                           017 "Suvandid"
28001                           017 "Tiitel:"
28003                           018 "Nähtav"
28004                           017 "Laius:"
28007                           020 "Automaatne"
28008                           021 "Joondus:"
28010                           016 "Tüüp:"
28012                           029 "Luba andmete redigeerimine"
28100                           017 "Suvandid"
28101                           028 "Sobita objektide mõõdud"
28103                           024 "Nähtavad read:"
28106                           030 "Kuva tühiväärtused"
28107                           021 "Ei"
28108                           022 "Interpoleeritud"
28109                           014 "Null"
28200                           016 "Nupp"
28201                           016 "Tiitel:"
28203                           017 "Laius:"
28206                           018 "Kõrgus:"
28209                           025 "Vertikaalne vahekaugus:"
28212                           028 "Horisontaalne vahekaugus:"
28216                           020 "Koht:"
28300                           014 "Lahter"
28301                           020 "Legendi võti"
28302                           018 "Sarjad:"
28305                           017 "Punkt:"
28308                           021 "Kasutajatabelid"
28400                           017 "Osuti"
28401                           023 "Osuti silt"
28402                           017 "Silt:"
28500                           017 "Suvandid"
28501                           018 "Koht"
28502                           019 "Üleval-vasakul"
28503                           020 "Üleval-paremal"
28600                           017 "Suvandid"
28601                           018 "Koht"
