_SAPPCTXT_HEADER_               002 8000 CHART TH 8600 OK 
22460                           065 "ไม่สามารถนำแผนภูมิ 2 มิติและ 3 มิติ มารวมกันได้"
22461                           132 "เปลี่ยนชุดข้อมูลของแผนภูมิ 2 มิติเพื่อให้แผนภูมิทั้งสองสามารถรวมกันในแผนภูมิ 3  มิติหรือไม่?"
22462                           094 "- คลิก 'ใช่' เพื่อเปลี่ยนแปลงชุดข้อมูล เพื่อจะรวมชุดข้อมูลในแผนภูมิ 3 มิต ิ"
22464                           064 "- คลิก 'ไม่' เพื่อยกเลิกการรวมแผนภูมิ"
22470                           065 "แผนภูมิ 3 มิติและ 2 มิติไม่สามารถรวมกันได้"
22471                           132 "เปลี่ยนชุดข้อมูลของแผนภูมิ 3 มิติเพื่อให้แผนภูมิทั้งสองสามารถรวมกันในแผนภูมิ 2  มิติหรือไม่?่?"
22472                           091 "- คลิก 'ใช่' เพื่อเปลี่ยนแปลงชุดข้อมูล เพื่อจะรวมชุดข้อมูลในแผนภูมิ 2 มิต ิ"
22474                           064 "- คลิก 'ไม่' เพื่อยกเลิกการรวมแผนภูมิ"
22480                           060 "แผนภูมินี้ไม่สามารถรวมกับประเภทแผนภูมิอื่นได้"
22481                           090 "เปลี่ยนชุดข้อมูลทั้งหมดของแผนภูมินี้เป็นประเภทแผนภูมิที่เลือกหรือไม่?"
22490                           132 "ในการสร้างแผนภูมิสต็อค ให้จัดข้อมูลบนชีทของคุณตามลำดับต่อไปนี้: ราคาเป    ิด, ราคาสูงสุด, ราคาต่ำสุดและราคาปิด"
22491                           050 "ใช้วันที่หรือชื่อสต็อคเป็นป้ายชื่อ"
22500                           132 "ในการสร้างแผนภูมิสต็อคนี้ ให้จัดข้อมูลบนชีทของคุณตามลำดับต่อไปนี้: ปริมาณที่ซื้อขาย , ราคาสูงสุด, ราคาต่ำสุดและราคาปิด"
22501                           050 "ใช้วันที่หรือชื่อสต็อคเป็นป้ายชื่อ"
22510                           132 "ในการสร้างแผนภูมิสต็อคนี้ ให้จัดข้อมูลบนชีทของคุณตามลำดับต่อไปนี้: ปริมาณที่ซื้อขาย , ราคาเปิด,  ราคาสูงสุด, ราคาต่ำสุดและราคาปิด"
22511                           050 "ใช้วันที่หรือชื่อสต็อคเป็นป้ายชื่อ"
22550                           015 "สีขาว"
22551                           015 "สีดำ"
22552                           013 "สีแดง"
22553                           016 "สีเหลือง"
22554                           015 "สีเขียว"
22555                           014 "สีน้ำเงินเขียว"
22556                           014 "สีน้ำเงิน"
22557                           017 "สีม่วงแดง"
22600                           013 "ทั้งหมด"
22601                           016 "ปรับแต่ง"
22602                           016 "เลขที่"
22603                           021 "การทำบัญชี"
22604                           014 "วันที่"
22605                           014 "เวลา"
22606                           017 "ร้อยละ"
22607                           018 "เศษส่วน"
22608                           017 "วิทยาศาสตร์"
22609                           014 "ข้อความ"
22610                           018 "สกุลเงิน"
23000                           013 "บนสุด"
23001                           016 "กึ่งกลาง"
23002                           016 "ล่าง"
23003                           016 "แบ่ง"
23010                           014 "ซ้าย"
23011                           016 "กึ่งกลาง"
23012                           015 "ขวา"
23013                           016 "แบ่ง"
23020                           015 "ด้านบน"
23021                           015 "ด้านล่าง"
23022                           020 "ความกว้างที่ดีที่สุด"
23023                           016 "กึ่งกลาง"
23024                           021 "ฐานใน"
23025                           020 "จุดสิ้นสุดด้านใน"
23026                           014 "ซ้าย"
23027                           015 "ที่ผสม"
23028                           021 "จุดสิ้นสุดด้านนอก"
23029                           015 "ขวา"
23030                           031 "จัดรูปแบบของป้ายแกน(&F) ..."
23031                           032 "จัดรูปแบบของชื่อแผนภูมิ(&F) ..."
23032                           027 "จัดรูปแบบของป้ายแกน"
23033                           028 "จัดรูปแบบของชื่อแผนภูมิ"
23034                           016 "แบบเส้นตรง"
23035                           021 "แบบลอการิทึม"
23036                           019 "ศักยภาพ"
23037                           021 "แบบเลขยกกำลัง"
23038                           024 "ค่าเฉลี่ยเคลื่อนที่"
23039                           019 "แก้ไขข้อความ"
23040                           019 "อัตโนมัติ"
23041                           017 "ต่ำสุด"
23042                           017 "สูงสุด"
23043                           016 "ปรับแต่ง"
23050                           017 "คอลัมน์"
23051                           014 "แท่ง"
23052                           015 "บรรทัด"
23053                           017 "โปรไฟล์"
23054                           014 "วงกลม"
23055                           022 "XY (กระจาย)"
23056                           014 "ขอบเขต"
23057                           018 "โดนัท"
23058                           015 "เรดาห์"
23059                           019 "พอร์ตโฟลิโอ"
23060                           015 "สต็อค"
23061                           017 "พื้นผิว"
23062                           018 "ทรงกระบอก"
23063                           014 "ทรงกรวย"
23064                           017 "ปิรามิด"
23065                           019 "จุดตรวจสอบ"
23066                           015 "ขั้นตอน"
23067                           019 "ฮิสโตแกรม"
23068                           020 "Tachometer"
23069                           018 "ควอทแดรนต์"
23070                           024 "แถบสีแบบหลายสี"
23090                           014 "ข้อมูล"
23091                           020 "คีย์คำอธิบาย"
24000                           018 "ตำแหน่ง"
24001                           015 "ค่า"
24002                           017 "ร้อยละ"
25100                           018 "มุมมอง 3 มิติ"
25103                           021 "การยกมุม(&E):"
25107                           023 "ภาพได้สัดส่วน(&P):"
25111                           020 "การหมุน(&R):"
25113                           023 "กำหนดสเกลอัตโนมัติ(&A)"
25114                           027 "มุมขวาของแกน(&X)"
25115                           018 "ความสูง(&H):"
25118                           011 "%"
25119                           018 "ตั้งต้น(&D)"
25200                           019 "การจัดวาง"
25201                           024 "การจัดวางข้อความ"
25202                           022 "แนวนอน(&H):"
25204                           020 "แนวตั้ง(&V):"
25206                           020 "ตำแหน่ง(&P):"
25208                           021 "การวางแนว"
25300                           014 "แกน"
25301                           022 "แกนหลัก"
25302                           029 "แกนแสดงหมวด (X) (&C)"
25303                           026 "แกนแสดงค่า (Y) (&V)"
25304                           027 "แกนแสดงลำดับ (Z) (&S)"
25305                           024 "แกนรอง"
25306                           029 "แกนแสดงหมวด (X) (&T)"
25307                           025 "แกนแสดงค่า (Y) (&A)"
25400                           019 "การจัดวาง"
25401                           021 "การวางแนว"
25500                           014 "บรรทัด"
25501                           014 "บรรทัด"
25502                           020 "อัตโนมัติ(&A)"
25503                           016 "ปรับแต่ง"
25504                           017 "รูปแบบ(&S):"
25506                           017 "สี(&O):"
25508                           030 "ประเภท Major Tick Mark"
25509                           015 "ไม่มี(&N)"
25510                           016 "ด้านใน"
25511                           017 "ด้านนอก"
25512                           015 "คาบเกี่ยว"
25513                           030 "ประเภท Minor Tick Mark"
25514                           015 "ไม่มี(&O)"
25515                           016 "ด้านใน"
25516                           017 "ด้านนอก"
25517                           015 "คาบเกี่ยว"
25518                           026 "ป้าย Tick mark"
25519                           015 "ไม่มี(&E)"
25520                           013 "ต่ำ"
25521                           014 "สูง"
25522                           022 "ถัดจากแกน"
25523                           016 "ตัวอย่าง"
25600                           014 "แกน"
25601                           024 "ลำดับพล็อตบน"
25602                           023 "แกนหลัก(&P)"
25603                           025 "แกนรอง(&S)"
25700                           019 "บาร์ข้อผิดพลาด"
25701                           017 "แสดง"
25703                           022 "จำนวนข้อผิดพลาด"
25704                           023 "ค่าคงที่(&F):"
25705                           021 "ร้อยละ:"
25706                           029 "ผลต่างมาตรฐาน:"
25707                           024 "ข้อผิดพลาดมาตรฐาน"
25708                           017 "เฉพาะผู้ใช้:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "เส้นพิกัด"
25801                           028 "แกนหมวด (X)"
25802                           026 "เส้นพิกัดหลัก(&M)"
25803                           026 "เส้นพิกัดรอง(&N)"
25804                           025 "แกนค่า (Y)"
25805                           026 "เส้นพิกัดหลัก(&A)"
25806                           026 "เส้นพิกัดรอง(&O)"
25807                           026 "แกนแสดงลำดับ(Z)"
25808                           026 "เส้นพิกัดหลัก(&R)"
25809                           026 "เส้นพิกัดรอง(&G)"
25810                           028 "แกนหมวด (X)"
25811                           026 "เส้นพิกัดหลัก(&J)"
25812                           026 "เส้นพิกัดรอง(&I)"
25813                           025 "แกนค่า (Y)"
25814                           026 "เส้นพิกัดหลัก(&D)"
25815                           026 "เส้นพิกัดรอง(&L)"
25816                           022 "แกนหลัก"
25817                           024 "แกนรอง"
25900                           014 "บรรทัด"
25901                           020 "อัตโนมัติ(&A)"
25902                           017 "เฉพาะผู้ใช้(&C)"
25903                           014 "บรรทัด"
25904                           017 "รูปแบบ(&S):"
25906                           017 "สี(&C):"
25908                           016 "ตัวอย่าง"
25909                           016 "ตัวทำเครื่องหมาย"
26000                           021 "ดาต้าลาเบล"
26001                           021 "ดาต้าลาเบล"
26002                           015 "ไม่มี(&N)"
26003                           020 "แสดงค่า"
26004                           022 "แสดงเปอร์เซ็นต์"
26005                           020 "แสดงป้ายชื่อ"
26006                           032 "แสดงป้ายชื่อและเปอร์เซ็นต์"
26007                           026 "แสดงขนาดฟอง"
26009                           030 "แสดงป้ายชื่อและค่า"
26010                           029 "แสดงค่า X และ Y (&S)"
26011                           036 "แสดงป้ายชื่อและขนาดฟอง"
26100                           016 "Legend"
26101                           014 "ประเภท"
26103                           027 "บับเบิลอ้างอิง"
26104                           018 "มองเห็นได้(&V)"
26105                           024 "ขนาดสูงสุด(&S):"
26108                           019 "เคลื่อนย้ายได้(&M)"
26109                           025 "แสดงตามความต้องการ(&H)"
26200                           014 "บรรทัด"
26201                           014 "บรรทัด"
26202                           020 "อัตโนมัติ(&A)"
26203                           017 "เฉพาะผู้ใช้(&C)"
26204                           017 "รูปแบบ(&S):"
26206                           017 "สี(&O):"
26208                           017 "เรียบ(&M)"
26209                           016 "ตัวทำเครื่องหมาย"
26210                           020 "อัตโนมัติ(&U)"
26211                           015 "ไม่มี(&N)"
26212                           017 "เฉพาะผู้ใช้(&T)"
26213                           017 "รูปแบบ(&E):"
26215                           022 "ฟอร์กราวน์(&F):"
26217                           022 "แบคกราวน์ (&B):"
26219                           016 "ขนาด(&Z):"
26222                           016 "ตัวอย่าง"
26223                           016 "หัว(&D):"
26226                           016 "ขนาด(&I):"
26227                           017 "น้ำหนัก:"
26300                           016 "เลขที่"
26301                           020 "หมวด(&C):"
26303                           026 "รูปแบบตัวเลข(&U):"
26305                           016 "ตัวอย่าง"
26306                           016 "ความคงที่"
26307                           025 "รูปแบบตัวเลข(&N):"
26400                           015 "รูปร่าง"
26401                           017 "รูปร่าง:"
26500                           017 "รูปแบบ"
26501                           014 "เติม"
26502                           020 "อัตโนมัติ(&A)"
26503                           016 "สี(&R)"
26504                           018 "รูปแบบ(&P)"
26505                           019 "&Gradient"
26506                           018 "พื้นผิว(&T)"
26507                           016 "ความคงที่"
26509                           016 "ความคงที่"
26511                           016 "ความคงที่"
26513                           022 "3D &Effects"
26514                           016 "เส้นขอบ"
26515                           020 "อัตโนมัติ(&U)"
26516                           017 "เฉพาะผู้ใช้(&C)"
26517                           017 "รูปแบบ(&S):"
26519                           017 "สี(&O):"
26521                           017 "เงา(&H)"
26522                           016 "ตัวอย่าง"
26523                           022 "ทรานสแพเรนท์(&N)"
26525                           018 "รูปแบบ:"
26526                           015 "รูปภาพ"
26527                           025 "ขอดูภาพ..."
26600                           019 "เส้นแนวโน้ม"
26601                           031 "ประเภทแนวโน้ม/การถอยกลับ"
26603                           026 "ชื่อเส้นแนวโน้ม(&T):"
26605                           020 "อัตโนมัติ(&A)"
26606                           018 "การพยากรณ์"
26607                           019 "ข้างหน้า(&F):"
26610                           020 "ข้างหลัง(&B):"
26613                           019 "ช่วง(&P):"
26616                           036 "แสดงเส้นศูนย์กลางของแผนภูมิ(&E)"
26700                           015 "สเกล"
26701                           015 "สเกล"
26702                           029 "สเกลแกนหมวด"
26703                           033 "แกนค่าตัดผ่านที่(&V):"
26705                           057 "&จำนวนหมวดระหว่าง Tick Mark Labels:"
26707                           051 "จำนวนหมวดระหว่าง Tick Marks(&C):"
26709                           048 "แกนค่าตัดระหว่างหมวด (&A)"
26710                           038 "เรียงลำดับหมวดแบบย้อนกลับ (&R)"
26712                           020 "อัตโนมัติ(&O)"
26713                           040 "จำนวนหมวดที่มองเห็นได้(&U):"
26715                           036 "เริ่มที่หมายเลขหมวด(&S):"
26800                           015 "สเกล"
26801                           027 "สเกลแกนลำดับ"
26802                           053 "จำนวนลำดับระหว่าง Tick Mark Labels(&N):"
26804                           047 "จำนวนลำดับระหว่าง Tick Marks(&S):"
26806                           034 "เรียงชุดอันดับแบบย้อนกลับ(&R)"
26900                           015 "สเกล"
26901                           026 "สเกลแกนค่า"
26902                           016 "ประเภท(&P):"
26904                           021 "ความกว้างของช่อง(&W):"
26907                           014 "Auto"
26908                           019 "ต่ำสุด(&M):"
26911                           019 "สูงสุด(&A):"
26914                           022 "หน่วยหลัก(&O):"
26919                           018 "จัดรูปแบบ(&F):"
26921                           022 "หน่วยรอง(&U):"
26926                           018 "จัดรูปแบบ(&R):"
26928                           036 "แกนหมวดตัดที่(&C):"
26931                           034 "เรียงค่าแบบย้อนกลับ(&V)"
26933                           025 "ความกว้างของวัน:"
26936                           027 "วิวเริ่มที่(&T):"
26938                           030 "ขีดเส้นที่เวลาจริง(&L)"
26939                           035 "แสดงหน่วยเวลาที่สมบูรณ์(&S)"
26940                           027 "ระบายสีวันหยุด(&H)"
26942                           015 "วันที่:"
27000                           017 "ตัวเลือก"
27001                           016 "ความคงที่"
27005                           038 "ขนาดของพื้นที่พล็อตรอง"
27008                           016 "องศา"
27009                           023 "ความลึกของแผนภูมิ(&C):"
27013                           039 "องค์ประกอบของพล็อตรองมี:"
27016                           016 "ค่า"
27018                           031 "สีต่างๆ ตามจุด(&V)"
27019                           025 "เส้นสูง-ต่ำ(&H)"
27020                           023 "บาร์ขึ้น-ลง(&U)"
27021                           026 "ขนาดที่แสดง"
27022                           030 "พื้นที่ของบับเบิล(&A)"
27023                           034 "ขนาดเส้นผ่าศูนย์กลางบับเบิล(&I)"
27024                           024 "ตัดลำดับโดย:"
27026                           036 "พื้นที่ผลต่างค่าบวก/ค่าลบ(&O)"
27027                           022 "ช่วงค่า"
27029                           017 "เพิ่ม(&D)..."
27030                           018 "แก้ไข(&E)..."
27031                           017 "ย้าย(&R)"
27033                           024 "เรียงแถวก่อน (&L)"
27034                           020 "อัตโนมัติ(&A)"
27100                           020 "ประเภทแผนภูมิ"
27101                           022 "ประเภทแผนภูมิ(&C):"
27103                           025 "ประเภทแผนภูมิย่อย(&S):"
27105                           033 "กำหนดใช้กับทุกแถวข้อมูล(&A)"
27200                           015 "ค่า"
27201                           018 "แกน X(&X):"
27204                           018 "แกน Y(&Y):"
27207                           020 "เส้นศูนย์กลาง(&D):"
27300                           021 "ช่วงค่า"
27301                           017 "ต่ำสุด"
27302                           017 "หัวเรื่อง(&T):"
27304                           020 "อัตโนมัติ(&A)"
27305                           019 "มองไม่เห็น"
27306                           016 "มูลค่า:"
27309                           017 "สูงสุด"
27310                           017 "หัวเรื่อง(&I):"
27312                           020 "อัตโนมัติ(&U)"
27313                           019 "มองไม่เห็น"
27314                           016 "มูลค่า:"
27317                           017 "ดีที่สุด"
27318                           017 "หัวเรื่อง(&L):"
27320                           019 "อัตโนมัติ"
27321                           019 "มองไม่เห็น"
27322                           016 "มูลค่า:"
27325                           020 "ตำแหน่ง(&P):"
27326                           020 "ตำแหน่ง(&O):"
27327                           020 "ตำแหน่ง(&O):"
27400                           015 "ชื่อเรื่อง"
27401                           015 "แผนภูมิ"
27403                           028 "แกนหมวด (X):"
27405                           025 "แกนค่า (Y):"
27407                           038 "หมวดรองของแกน (X):"
27409                           035 "ค่ารองของแกน (Y):"
27411                           019 "เคลื่อนย้ายได้(&M)"
27412                           019 "แก้ไขได้(&D)"
27413                           017 "หัวเรื่อง(&T):"
27414                           017 "หัวเรื่อง(&I):"
27415                           017 "หัวเรื่อง(&L):"
27416                           016 "ชื่อเรื่อง:"
27417                           016 "ชื่อเรื่อง:"
27418                           016 "หน่วย(&U):"
27419                           016 "หน่วย(&N):"
27420                           015 "หน่วย"
27421                           015 "หน่วย"
27500                           020 "ตารางข้อมูล"
27501                           026 "แสดงตารางข้อมูล(&D)"
27502                           027 "แสดงคีย์คำอธิบาย(&K)"
27600                           029 "การกระจายแบบธรรมดา"
27601                           029 "ชื่อการกระจาย(&D):"
27603                           020 "อัตโนมัติ(&A)"
27604                           016 "จำนวนเฉลี่ย(&M):"
27606                           030 "ผลต่างมาตรฐาน(&S):"
27608                           032 "แสดงชื่อบนแผนภูมิ(&N)"
27700                           019 "ควอแดร็นท์"
27701                           016 "กึ่งกลาง"
27702                           018 "แกน X(&X):"
27705                           018 "แกน Y(&Y):"
27708                           016 "สี"
27709                           019 "ซ้ายบน:"
27711                           020 "ขวาบน:"
27713                           023 "ซ้ายล่าง:"
27715                           023 "ขวาล่าง:"
27719                           018 "มองเห็นได้(&V)"
27800                           028 "ลำดับช่วงค่า"
27801                           016 "จาก (&F):"
27804                           014 "ถึง (&T):"
27807                           017 "สี(&C):"
27900                           017 "ตัวเลือก"
27901                           019 "คอลัมน์(&O):"
27903                           015 "แถว (&R)"
27906                           017 "หัวเรื่อง(&T):"
27908                           018 "มองเห็นได้(&V)"
27910                           018 "ตำแหน่ง"
27911                           017 "เฉพาะผู้ใช้(&C)"
27912                           020 "อัตโนมัติ(&A)"
27913                           019 "เคลื่อนย้ายได้(&M)"
28000                           017 "ตัวเลือก"
28001                           017 "หัวเรื่อง(&T):"
28003                           018 "มองเห็นได้(&V)"
28004                           017 "ความกว้าง(&W):"
28007                           020 "อัตโนมัติ(&A)"
28008                           021 "การปรับแนว(&I):"
28010                           016 "ประเภท(&E):"
28012                           029 "อนุญาตให้แก้ไขข้อมูล(&L)"
28100                           017 "ตัวเลือก"
28101                           028 "สเกลออบเจคโดยอัตโนมัติ(&A)"
28103                           024 "แถวที่มองเห็นได้(&V):"
28106                           030 "แสดงค่าว่างเปล่า"
28107                           021 "ไม่พล็อต"
28108                           022 "แทรก"
28109                           014 "ศูนย์"
28200                           016 "ปุ่ม"
28201                           016 "ชื่อเรื่อง:"
28203                           017 "ความกว้าง(&W):"
28206                           018 "ความสูง(&H):"
28209                           025 "ที่ว่างแนวตั้ง:"
28212                           028 "ช่องว่างแนวนอน(&O):"
28216                           020 "ตำแหน่ง(&P):"
28300                           014 "เซลล์"
28301                           020 "คีย์คำอธิบาย"
28302                           018 "ลำดับ(&S):"
28305                           017 "ชี้(&P):"
28308                           021 "ตารางผู้ใช้"
28400                           017 "ตัวชี้"
28401                           023 "ป้ายชื่อตัวชี้"
28402                           017 "ป้ายชื่อ(&L):"
28500                           017 "ตัวเลือก"
28501                           018 "ตำแหน่ง"
28502                           019 "ซ้ายบน(&T)"
28503                           020 "ขวาบน(&T)"
28600                           017 "ตัวเลือก"
28601                           018 "ตำแหน่ง"
