_SAPPCTXT_HEADER_               002 8000 CHART TH 8600 OK 
10024                           024 "\tPage &[หน้า]"
10027                           098 "เครื่องพิมพ์และการเชื่อมต่อกับเครื่องพิมพ์ไม่ถูกต้อง จะใช้เครื่องพิมพ์มาตรฐาน"
12000                           016 "จันทร์"
12001                           017 "อังคาร"
12002                           019 "พุธ"
12003                           018 "พฤหัส"
12004                           016 "ศุกร์"
12005                           018 "เสาร์"
12006                           016 "อาทิตย์"
12007                           017 "วันทำงาน"
12008                           019 "วันสุดสัปดาห์"
12009                           018 "วันหยุด"
12010                           018 "ลาพักผ่อน"
12011                           025 "จำนวนวันที่หยุดงาน"
12321                           015 "นำไปใช้"
15000                           016 "ยกเลิก(&U)"
15001                           019 "\t Ctrl+Z"
15002                           014 "ย้าย"
15004                           021 "เปลี่ยนขนาด"
15007                           023 "ไม่มี"
18000                           014 "แบบอักษร"
18001                           016 "แบบอักษร(&F):"
18003                           022 "รูปแแบบอักษร(&T):"
18005                           016 "ขนาด(&Z):"
18007                           017 "สี(&C):"
18009                           017 "Effects"
18010                           024 "ตีเส้นทับ(&S)"
18011                           020 "ขีดเส้นใต้(&U)"
18012                           017 "การแสดงตัวอย่าง"
18013                           019 "Graffiti"
18600                           015 "พิมพ์"
18601                           017 "เครื่องพิมพ์"
18604                           024 "พิมท์ลงไฟล์(&F)"
18605                           024 "คุณสมบัติ(&O).."
18606                           021 "ช่วงการพิมพ์"
18607                           014 "ทั้งหมด(&A)"
18608                           022 "จากหน้า(&F):"
18611                           014 "ถึง(&T):"
18614                           016 "สำเนา"
18615                           028 "จำนวนสำเนา(&N):"
18619                           018 "รวมแฟ้มเรียง(&C)"
18620                           024 "ตัวอย่างก่อนพิมพ์(&P)"
18621                           024 "จัดเตรียมหน้า(&S)..."
18700                           014 "หน้า"
18701                           022 "ขนาดกระดาษ(&P):"
18703                           025 "คุณภาพในการพิมพ์(&Q):"
18705                           021 "การวางแนว"
18706                           019 "แนวตั้ง(&V)"
18707                           021 "แนวนอน(&H)"
18708                           016 "กึ่งกลาง"
18709                           023 "แนวนอน(&Z)"
18710                           021 "แนวตั้ง(&C)"
18800                           022 "เส้นกรอบ"
18801                           016 "เส้นขอบ"
18802                           016 "ซ้าย(&L):"
18805                           017 "ขวา(&R):"
18808                           015 "ด้านบน(&T):"
18811                           018 "ด้านล่าง(&B):"
18814                           017 "ระยะขอบ"
18815                           018 "ส่วนหัว(&H):"
18818                           018 "ส่วนท้าย(&F):"
18821                           017 "การแสดงตัวอย่าง"
18900                           017 "ตัวเลือก"
18901                           017 "การกำหนดสเกล"
18902                           017 "สเกล(&S):"
18905                           018 "เหมาะสม(&F):"
18908                           017 "หน้า"
18909                           019 "แนวตั้ง(&V)"
18910                           021 "แนวนอน(&H)"
18911                           021 "ตัวเลือก(&O)..."
19000                           015 "พิมพ์"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "DHM,"
20017                           114 "ขอบกระดาษของเครื่องพิมพ์ใหญ่กว่าขอบกระดาษของหน้า \n ควรใช้ขอบกระดาษกับหน้าหรือไม่?"
20018                           056 "คุณต้องเลือกเครื่องพิมพ์ที่สามารถพิมพ์ได้"
20019                           020 "ตั้งค่าหน้ากระดาษ"
20020                           014 "Auto"
20023                           041 "มีทรัพยากรไม่เพียงพอ"
20024                           029 "ข้อผิดพลาดขณะเก็บบันทึก"
20025                           030 "ข้อผิดพลาดขณะทำการโหลด"
20026                           017 "สี(&C):"
20027                           022 "ฟอร์กราวน์(&F):"
20028                           022 "แบคกราวน์ (&B):"
20029                           023 "สีเส้นขีด(&H):"
20030                           016 "จาก (&F):"
20031                           014 "ถึง (&T):"
20032                           019 "รูปแบบ (&P):"
20033                           017 "เส้นขนาน (&H):"
20034                           020 "ระดับสี (&G):"
20064                           019 "พิมพ์ (&P) ..."
20066                           024 "จัดเตรียมหน้า(&P)..."
20072                           030 "ปิดตัวอย่างก่อนพิมพ์(&C)"
20087                           017 "ไม่ทราบ"
20088                           014 "บาง"
20089                           021 "จางมาก"
20090                           015 "สัญญาณสี"
20091                           017 "ปกติ"
20092                           016 "สื่อกลาง"
20093                           018 "กึ่งหนา"
20094                           014 "ตัวหนา"
20095                           020 "หนาพิเศษ"
20096                           015 "เข้ม"
20097                           021 "เข้มมาก"
20098                           017 "ตัวเอน"
20099                           017 "ไม่ทราบ"
20105                           019 "ขีดเส้นใต้"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "ออบเจค"
20110                           017 "ออบเจค"
20111                           033 "ไม่สามารถอ่านไฟล์!"
20112                           081 "มีหน่วยความจำไม่เพียงพอ กรุณาปิดแอพพลิเคชันก่อน"
20113                           044 "ไม่มีรูปแบบที่เลือก"
20114                           058 "ขนาดของรูปแบบอักษรต้องอยู่ระหว่าง 1 ถึง 1635"
20115                           089 "ไม่มีรูปแบบอักษรที่เลือกในระบบของคุณ คุณยังต้องการใช้รูปแบบอักษรหรือไม่?"
20119                           020 "ออบเจค (&O) ..."
20128                           057 "ปัจจัยการขยายต้องอยู่ระหว่าง 25% ถึง 400%"
20141                           055 "กรุณาป้อนค่าที่มากกว่าหรือเท่ากับ 0 !"
20142                           055 "กรุณาป้อนค่าที่มากกว่าหรือเท่ากับ 1!"
20145                           079 "จำนวนหน้าที่จะปรับต้องไม่ต่ำกว่า 1 หน้าและต้องไม่เกิน 100 หน้า!"
20147                           014 "สูง"
20148                           016 "กลาง"
20149                           013 "ต่ำ"
20150                           016 "แบบร่าง"
20154                           023 "คำอธิบายรูปแบบ"
20162                           091 "ไม่ได้ติดตั้งเครื่องพิมพ์หรือไม่ได้กำหนดเครื่องพิมพ์เป็นเครื่องพิมพ์มาตรฐาน"
22000                           031 "พื้นที่แผนภูมิของรูปแบบ (&F) .."
22001                           024 "ประเภทแผนภูมิ (&T) ..."
22002                           025 "แหล่งข้อมูล (&D) ..."
22003                           027 "ตัวเลือกแผนภูมิ (&O) ..."
22004                           021 "รูปแบบของพล็อต"
22005                           020 "ประเภทแผนภูมิ"
22006                           023 "ตัวเลือกแผนภูมิ"
22007                           032 "รูปแบบของชุดข้อมูล (&F) ..."
22008                           017 "ลบ(&D)"
22009                           028 "ชุดข้อมูลรูปแบบ"
22010                           019 "ซ้อน (&L):"
