_SAPPCTXT_HEADER_               002 8000 CHART UK 1504 OK 
26226                           016 "&Розмір:"
26227                           017 "Вага:"
26300                           016 "Кількість"
26301                           020 "&Категорія:"
26303                           026 "&Формати чисел:"
26305                           016 "Зразок"
26306                           016 "Статично"
26307                           025 "&Формати чисел:"
26400                           015 "Форма"
26401                           017 "Форми:"
26500                           017 "Шаблон"
26501                           014 "Забарвити"
26502                           020 "&Автоматично"
26503                           016 "&Колір"
26504                           018 "&Шаблон"
26505                           019 "&Градієнт"
26506                           018 "&Текстура"
26507                           016 "Статично"
26509                           016 "Статично"
26511                           016 "Статично"
26513                           022 "&Тривимірні ефекти"
26514                           016 "Межа"
26515                           020 "&Автоматично"
26516                           017 "&Налаштування"
26517                           017 "&Стиль:"
26519                           017 "&Колір:"
26521                           017 "&Тінь"
26522                           016 "Зразок"
26523                           022 "&Прозоро"
26525                           018 "Шаблон:"
26526                           015 "Зображення"
26527                           025 "Шукати зображення..."
26600                           019 "Лінія тенденції"
26601                           031 "Тип тенденції/регресії"
26603                           026 "&Ім'я лінії тенденції:"
26605                           020 "&Автоматично"
26606                           018 "Прогноз"
26607                           019 "&Уперед:"
26610                           020 "&Назад:"
26613                           019 "&Періоди:"
26616                           036 "&Відобразити рівняння на діаграмі"
26700                           015 "Масштабування"
26701                           015 "Масштабування"
26702                           029 "Масштабування осі категорій"
26703                           033 "&Вісь значень перетинається у:"
26705                           057 "&Кількість категорій між підписами позначок:"
26707                           051 "&Кількість категорій між позначками:"
26709                           048 "&Вісь значень перетинається між категоріями"
26710                           038 "&Категорії у зворотньому порядку"
26712                           020 "&Автоматично"
26713                           040 "&Кількість видимих категорій"
26715                           036 "&Почати з категорії №:"
26800                           015 "Масштабування"
26801                           027 "Масштабування осі рядів"
26802                           053 "&Кількість рядів між підписами позначок:"
26804                           047 "&Кількість рядів між позначками:"
26806                           034 "&Ряди у зворотньому порядку"
26900                           015 "Масштабування"
26901                           026 "Масштабування осі значень"
26902                           016 "&Тип:"
26904                           021 "&Ширина проміжку:"
26907                           014 "Авто"
26908                           019 "&Мінімум:"
26911                           019 "&Максимум:"
26914                           022 "&Основна одиниця:"
26919                           018 "&Формат:"
26921                           022 "&Вторинна одиниця:"
26926                           018 "&Формат:"
26928                           036 "&Вісь категорій перетинається у:"
26931                           034 "&Значення у зворьтньому порядку"
26933                           025 "Ширина дня:"
26936                           027 "&Подання починається з:"
26938                           030 "&Лінія для фактичного часу"
26939                           035 "&Показати усі одиниці часу"
26940                           027 "&Виділити кольором свята"
26942                           015 "Дата:"
27000                           017 "Опції"
27001                           016 "Статично"
27005                           038 "Розмір другої області креслення"
27008                           016 "Ступінь"
27009                           023 "&Глибина діаграми:"
27013                           039 "Елемент другого креслення містить:"
27016                           016 "Значення"
27018                           031 "&Різні кольори за пунктами"
27019                           025 "&Лінії діапазонів"
27020                           023 "&Поз./негат. смуги"
27021                           026 "Розмір представлений"
27022                           030 "&Область бульбашок"
27023                           034 "&Діаметр бульбашок"
27024                           024 "Розділити серії на:"
27026                           036 "&Поз/негат.області відхилення"
27027                           022 "Діапазони даних"
27029                           017 "&Додати..."
27030                           018 "&Редагувати..."
27031                           017 "&Видалити"
27033                           024 "&Лінія спочатку вгору"
27034                           020 "&Автоматично"
27100                           020 "Тип діаграми"
27101                           022 "&Тип діаграми:"
27103                           025 "&Підтип діаграми:"
27105                           033 "&Присвоїти всім рядкам даних"
27200                           015 "Значення"
27201                           018 "&Вісь X:"
27204                           018 "&Вісь Y:"
27207                           020 "&Діаметр:"
27300                           021 "Діапазон значень"
27301                           017 "Мінімум"
27302                           017 "&Заголовок:"
27304                           020 "&Автоматично"
27305                           019 "Невидиме"
27306                           016 "Значення:"
27309                           017 "Максимум"
27310                           017 "&Заголовок:"
27312                           020 "&Автоматично"
27313                           019 "Невидиме"
27314                           016 "Значення:"
27317                           017 "Оптимум"
27318                           017 "&Заголовок:"
27320                           019 "Автоматично"
27321                           019 "Невидиме"
27322                           016 "Значення:"
27325                           020 "&Позиція:"
27326                           020 "&Позиція:"
27327                           020 "&Позиція:"
27400                           015 "Заголовок"
27401                           015 "Діаграма"
27403                           028 "Вісь (X) категорій:"
27405                           025 "Вісь (Y) значень:"
27407                           038 "Вторинна вісь (X) категорій:"
27409                           035 "Вторинна вісь (Y) значень:"
27411                           019 "&Пересувний"
27412                           019 "&З можл.редагування"
27413                           017 "&Заголовок:"
27414                           017 "&Заголовок:"
27415                           017 "&Заголовок:"
27416                           016 "Заголовок:"
27417                           016 "Заголовок:"
27418                           016 "&Одиниця:"
27419                           016 "&Одиниця:"
27420                           015 "Одиниця"
27421                           015 "Одиниця"
27500                           020 "Таблиця даних"
27501                           026 "&Показати таблицю даних"
27502                           027 "&Показати ключі легенд"
27600                           029 "Звичайне розповсюдження"
27601                           029 "&Ім'я розповсюдження:"
27603                           020 "&Автоматично"
27604                           016 "&Середнє:"
27606                           030 "&Стандартне відхилення:"
27608                           032 "&Відобразити ім'я на діаграмі"
27700                           019 "Квадранти"
27701                           016 "Центр"
27702                           018 "&Вісь X:"
27705                           018 "&Вісь Y:"
27708                           016 "Кольори"
27709                           019 "Верхній лівий:"
27711                           020 "Верхній правий:"
27713                           023 "Нижній лівий:"
27715                           023 "Нижній правий:"
27719                           018 "&Видимий"
27800                           028 "Ряди діапазонів значень"
27801                           016 "&З:"
27804                           014 "&До:"
27807                           017 "&Колір:"
27900                           017 "Опції"
27901                           019 "&Стовпчики:"
27903                           015 "&Рядки"
27906                           017 "&Заголовок:"
27908                           018 "&Видимий"
27910                           018 "Позиція"
27911                           017 "&Налаштування"
27912                           020 "&Автоматично"
27913                           019 "&Пересувний"
28000                           017 "Опції"
28001                           017 "&Заголовок:"
28003                           018 "&Видимий"
28004                           017 "&Ширина:"
28007                           020 "&Автоматично"
28008                           021 "&Вирівнювання:"
28010                           016 "&Тип:"
28012                           029 "&Дозволити редагування даних"
28100                           017 "Опції"
28101                           028 "&Автоадаптація об'єктів"
28103                           024 "&Видимі рядки:"
28106                           030 "Відобразити порожні значення"
28107                           021 "Немає"
28108                           022 "Інтерпольовано"
28109                           014 "Нуль"
28200                           016 "Кнопка"
28201                           016 "Заголовок:"
28203                           017 "&Ширина:"
28206                           018 "&Висота:"
28209                           025 "Вертикальний інтервал:"
28212                           028 "&Горизонтальний інтервал:"
28216                           020 "&Позиція:"
28300                           014 "Комірка"
28301                           020 "Ключ легенди"
28302                           018 "&Ряди:"
28305                           017 "&Точка:"
28308                           021 "Таблиці користувача"
28400                           017 "Вказівник"
28401                           023 "Підпис вказівника"
28402                           017 "&Підпис:"
28500                           017 "Опції"
28501                           018 "Позиція"
28502                           019 "&Верхній лівий"
28503                           020 "&Верхній правий"
28600                           017 "Опції"
28601                           018 "Позиція"
