_SAPPCTXT_HEADER_               002 8000 CHART SK 1404 OK 
22036                           031 "Formátovanie mrieky"
22037                           026 "Formátovanie mrieky"
22038                           027 "Formátovanie refer.èiar"
22039                           031 "Formátovanie refer.èiar"
22040                           029 "Formátovanie spoj.èiar"
22041                           033 "Formátovanie spoj.èiar..."
22042                           027 "Formát.symbolu legendy"
22043                           029 "Formátovanie indexu legendy"
22044                           031 "Formát.symbolu legendy..."
22045                           033 "Formátovanie záznamu legendy"
22046                           028 "Formátovanie legendy"
22047                           026 "Formátovanie diagramu..."
22048                           022 "Chybovı ståpec X"
22049                           022 "Chybovı ståpec Y"
22050                           031 "Formátovanie chybového ståpca"
22051                           027 "Formátov.chybového ståpca"
22052                           021 "Zdroj dát"
22053                           021 "Dátovı rad"
22054                           018 "Hodnoty:"
22055                           022 "X - hodnoty:"
22056                           028 "Neplatná referencia"
22057                           035 "Formátovanie èiar rozpätia"
22058                           031 "Formátovanie èiar rozpätia"
22059                           017 "Koniec"
22060                           022 "Asistent diagramu"
22061                           028 "Formátovanie klad.ståpca..."
22062                           024 "Formátov.klad.ståpca"
22063                           030 "Formátovanie zápor.ståpca..."
22064                           026 "Formátovanie zápor.ståpca"
22065                           049 "Druhı prvok vıkresu obsahuje posledné:"
22066                           016 "Hodnoty"
22067                           056 "Druhá plocha vıkresu obsahuje všetky hodn.menšie ne:"
22068                           056 "Druhá plocha vıkresu obsahuje všetky hodn.menšie ne:"
22069                           057 "Presúvajte segmenty medzi kruhovımi kruhmi pomocou myši"
22070                           065 "Diagr.pre najvyš./najni./záver.kurzy musí obsahova tri dát.rady"
22074                           036 "Typ diagramu nemono poui"
22075                           026 "Zmena hodnoty..."
22076                           032 "Formátovanie rozsahu hodnôt..."
22077                           028 "Formátovanie rozsahu hodnôt"
22078                           027 "Formátovanie plochy diagr."
22079                           094 "Rozostup musí lea medzi 0 a 500. Zadajte hodnotu z tejto oblasti"
22080                           111 "Uhol prvého segmentu musí by medzi 0 a 360. Zadajte uhol z tohto rozsahu"
22081                           104 "Ve¾kos vnútorného kruhu musí by medzi 10 a 90. Zadajte príslušnú hodnotu"
22082                           096 "Prekrytie musí by medzi -100 a 100. Zadajte hodnotu z tejto oblasti"
22083                           094 "Rozpätie musí by medzi 0 a 200. Zadajte hodnotu z tejto oblasti"
22084                           114 "Ve¾kos druhej plochy vıkresu musí by medzi 5 a 200. Zadajte hodnotu z tejto oblasti"
22085                           095 "Èíslo musí by medzi 1 a 31999. Zadajte èíslo z tejto oblasti"
22086                           020 "Rozostup:"
22088                           016 "Lineárne"
22089                           021 "Logaritmicky"
22090                           014 "Èas"
22091                           014 "iadny"
22092                           031 "Zväèšenie èasovej osi"
22093                           030 "Formátovanie plochy vıkresu"
22094                           016 "Formátovanie"
22095                           055 "Ve¾kos oznaèení musí by väèšia ako nula"
22096                           047 "Hlavnı interval musí by väèší ako nula"
22097                           047 "Pomocnı interval musí by väèší ako nula"
22098                           024 "Neplatná hodnota"
22099                           029 "Formátovanie klad.oblasti..."
22100                           017 "Minimum"
22101                           017 "Maximum"
22102                           017 "Optimum"
22103                           018 "Poloka"
22104                           034 "Formátov.titulku rozsahu hodnôt"
22105                           038 "Formátov.titulku rozsahu hodnôt..."
22106                           027 "Popis radarovej osi"
22107                           016 "Os X"
22108                           016 "Os Y"
22109                           016 "Os Z"
22110                           014 "Raster"
22111                           019 "Plocha vıkresu"
22112                           027 "Titulok rozsahu hodnôt"
22113                           021 "Rozsah hodnôt"
22114                           019 "Zápornı ståpec"
22115                           017 "Kladnı ståpec"
22116                           024 "Èiary rozpätia"
22117                           020 "Chybovı ståpec"
22118                           022 "Spojovacie èiary"
22119                           020 "Refer.èiary"
22120                           017 "Rad:"
22121                           019 "Textúra:"
22122                           017 "Popis:"
22123                           034 "Zmena segmentov kruhu"
22124                           027 "Pripojenie èiary trendu..."
22125                           030 "Formátovanie èiary trendu..."
22126                           026 "Formátovanie èiary trendu"
22127                           036 "Formátov.popisu èiary trendu..."
22128                           032 "Formátov.popisu èiary trendu"
22129                           020 "Èiara trendu"
22130                           025 "Popis èiary trendu"
22131                           022 "Náh¾ad 3D..."
22132                           049 "Rotácia musí by medzi 0 a 360 stupòami"
22133                           048 "Vıška musí by medzi -90 a 90"
22134                           052 "Perspektíva musí by medzi 0 a 100"
22135                           024 "Os radov (Z):"
22136                           026 "Os hodnôt (Y):"
22138                           022 "Formátovanie podkladu"
22139                           026 "Formátovanie podkladu..."
22140                           022 "Formátovanie stien"
22141                           026 "Formátovanie stien"
22142                           015 "Kopírovanie"
22143                           021 "Medzipriestor:"
22144                           025 "Zdroj dát..."
22145                           025 "Formátov.klad.oblasti"
22146                           030 "Uloi ako predlohu&..."
22147                           060 "Súbory diagramu (*.icc)|*.icc|Všet.súbory (*.*) | *.* ||"
22148                           026 "Uloi ako predlohu"
22149                           089 "Celková ve¾kos èasovej osi je príliš ve¾ká. Automaticky sa upraví"
22151                           027 "Zavedenie predlohy..."
22152                           043 "Prieseèník osi (X) pri maxime"
22153                           023 "Zavedenie predlohy"
22154                           036 "Prieseèník osi (X) pri:"
22155                           043 "Prieseèník osi (Y) pri maxime"
22156                           032 "Prieseèník osi (Y) pri:"
22157                           116 "Poèet období pri pohyblivom priemere musí by minimálne 2 a menší ako poèet dátovıch bodov"
22158                           080 "Hodnoty doprednej a spätnej prognózy musia by väèšie ne nula"
22159                           021 "Popis sieovıch osí"
22160                           032 "Formátovanie sieovıch osí..."
22161                           028 "Formát.popisu sieovıch osí"
22162                           048 "Vıška musí by medzi -45 a 45"
22163                           047 "Vıška musí by medzi 10 a 90"
22164                           018 "Poh¾ad 3D"
22165                           051 "Šírka na deò musí by väèšia ako 0"
22166                           027 "Formátov.dátovej tabu¾ky"
22167                           031 "Formátov.dátovej tabu¾ky..."
22168                           020 "Dátová tabu¾ka"
22169                           028 "&Os pre kategórie (Y)"
22170                           025 "&Os pre hodnotu (X)"
22173                           117 "Kategória, od ktorej sa má zaèa, nesmie by menšia ako 1. \nHodnota sa pod¾a toho upraví"
22174                           113 "Poèet vidite¾nıch kategórií nesmie by menší ako 1. \nHodnota sa pod¾a toho upraví"
22175                           039 "Pridanie štandardného rozdelenia..."
22176                           042 "Formátovanie štandardného rozdelenia..."
22177                           019 "Tlaè..."
22178                           024 "Tlaèovı náh¾ad"
22179                           066 "Poèiatoèná hodnota sa musí líši od koncovej hodnoty"
22180                           077 "- 'Áno' pre konverziu všetkıch dátovıch radov na zvolenı typ diagramu"
22181                           054 "- 'Nie' pre zachovanie aktuálneho typu diagramu"
22191                           029 "&Triedy histogramu"
22192                           032 "Štandardné rozdelenie:"
22193                           038 "Popis štandardného rozdelenia:"
22194                           038 "Formátovanie štandardného rozdelenia"
22195                           044 "Formátovanie popisu štandardného rozdelenia"
22196                           048 "Formátovanie popisu štandarného rozdelenia..."
22197                           037 "Formátovanie aktuálnej èas.osi..."
22198                           033 "Formátov.aktuálnej èas.osi"
22199                           029 "Pridanie rozsahu hodnôt..."
22200                           031 "Formátovanie zápornıch oblastí"
22201                           027 "Formátovanie zápor.oblastí"
22202                           018 "Kladné oblasti"
22203                           020 "Záporné oblasti"
22204                           015 "Od:"
22205                           013 "Do:"
22206                           022 "Štıl obrazovky:"
22207                           032 "Formátovanie signál.oblasti..."
22208                           028 "Formátovanie signál.oblasti"
22209                           034 "Formátovanie popisu šípky..."
22210                           014 "Èiara"
22211                           026 "Formátovanie tabu¾ky..."
22212                           022 "Formátovanie tabu¾ky"
22213                           020 "Font titulku"
22214                           023 "Pridanie tabu¾ky..."
22215                           024 "Pridanie tlaèidla..."
22216                           027 "Formátovanie ståpca..."
22217                           023 "Formátovanie ståpca"
22218                           031 "Šírka ståpca príliš malá"
22219                           025 "Formátovanie bunky..."
22220                           021 "Formátovanie bunky"
22221                           035 "Formátovanie popisov šípky..."
22222                           030 "Formátovanie popisu šípky"
22223                           031 "Formátovanie popisov šípky"
22224                           023 "Formátovanie tlaèidla"
22225                           027 "Formátovanie tlaèidla..."
22226                           036 "Zobrazenie šírky bubliny"
22228                           127 "Èasovı ståpec sa nedá vytvori, keïe je interval príliš ve¾kı. Ak zvolíte zrušenie, najvyšší dátum sa nastaví spä."
22229                           016 "Stupne"
22230                           014 "Viac"
22231                           031 "Štandardné rozdelenie"
22232                           019 "Podtitulok"
22233                           012 "Zapnuté"
22235                           020 "Font titulku"
22236                           019 "Font bunky"
22237                           019 "Koláèovı graf"
22238                           036 "Formátovanie jednotky názvu osi"
22239                           051 "Èíselnı formát neplatnı"
22240                           092 "Je prípustnıch max.10 oblastí hodnôt !\nOstatné oblasti hodnôt sa odstránia"
22241                           025 "Zdroj dát..."
22242                           035 "Pridanie štandardného rozdelenia"
22400                           107 "Poèet jednotiek na základe aktuálnych nastavení èas.stupnice je príliš ve¾kı. Môe to zníi vıkonnos."
22401                           054 "Ste si istı, e sú všetky nastavenia korektné?"
22410                           101 "Poèet vidite¾nıch kategórií nesmie presahova poèet existujúcich kategórií."
22411                           056 "Hodnota sa adekvátne upraví"
22420                           132 "Súèet hodnôt vidite¾nıch kategórií a kategórie, z ktorej sa má vykona spustenie, prekraèuje poèet kategórií"
22421                           056 "Hodnota sa adekvátne upraví"
22430                           132 "Typ diagramu nie je moné zmeni v diagrame akcie, lebo diagram akcie vyaduje 3, 4 alebo 5 dátovıch radov pre jeden bod."
22431                           046 "Vyskúšajte jedno z nasledovnıch riešení:"
22432                           070 "Pre priradenie diagramu akcie všetkım dátovım radom zvo¾te 'OK'"
22433                           092 "Diagram akcie sa vytvorí len vtedy, keï tabu¾ka obsahuje dostatok dátovıch radov"
22434                           050 "Pre uzavretie hlásenia zvo¾te 'Zrušenie'."
22435                           132 "Zvo¾te potom inı typ diagramu, ktorı môe zobrazi jedinı dátovı rad, ako napr.èiarovı graf."
22460                           065 "Diagramy 2D a 3D nie je moné vzájomne kombinova."
22461                           132 "Majú sa dátové rady diagramu 2D zmeni tak, aby sa obidva diagramy mohli kombinova v diagrame 3D?"
22462                           094 "- 'Áno' pre zmenu dátovıch radov, aby tieto mohli by spojené v diagrame 3D"
22464                           064 "-'Nie' pre zrušenie spojenia diagramov"
22470                           065 "Diagramy 3D a 2D nie je moné vzájomne kombinova."
22471                           132 "Majú sa dátové rady diagramu 3D zmeni tak, aby sa obidva diagramy mohli kombinova v diagrame 2D?"
22472                           091 "- 'Áno' pre zmenu dátovıch radov, aby tieto mohli by spojené v diagrame 2D"
22474                           064 "- 'Nie' pre zrušenie spojenia diagramov"
22480                           060 "Diagram sa nedá kombinova s inımi typmi diagramov"
22481                           090 "Majú sa dátové rady tohto diagramu zmeni na vybranı typ diagramu?"
22490                           132 "Pre zaloenie tohto diagramu akcie, usporiadajte dáta v nasledovnom poradí: Poèiatoènı/najvyšší/najniší/závereènı kurz."
22491                           050 "Pouite dáta alebo názvy akcií ako popis"
22500                           132 "Pre zaloenie tohto diagramu akcie, usporiadajte dáta v nasledovnom poradí: Obchodovanı objem, najvyšší/najniší/závereènı kurz."
22501                           050 "Pouite dáta alebo názvy akcií ako popis"
22510                           132 "Pre zaloenie tohto diagramu akcie, pouite nasledovné poradie: Obchodovanı objem, poèiatoènı/najvyšší/najniší/závereènı kurz."
22511                           050 "Pouite dáta alebo názvy akcií ako popis"
22550                           015 "Biela"
22551                           015 "Èierna"
22552                           013 "Èervená"
22553                           016 "ltá"
22554                           015 "Zelená"
22555                           014 "Tyrkysová"
22556                           014 "Modrá"
22557                           017 "Magenta"
22600                           013 "Všetky"
22601                           016 "Defin.zákazník."
22602                           016 "Poèet"
22603                           021 "Úètovníctvo"
22604                           014 "Dátum"
22605                           014 "Èas"
22606                           017 "Percento"
22607                           018 "Zlomok"
22608                           017 "Veda"
22609                           014 "Text"
22610                           018 "Mena"
23000                           013 "Hore"
23001                           016 "Stred"
23002                           016 "Dole"
23003                           016 "Rozdelenie"
23010                           014 "V¾avo"
23011                           016 "Stred"
23012                           015 "Vpravo"
23013                           016 "Rozdelenie"
23020                           015 "Nad"
23021                           015 "Pod"
23022                           020 "Optimálna šírka"
23023                           016 "Stred"
23024                           021 "Vnútorná báza"
23025                           020 "Vnútornı koniec"
23026                           014 "V¾avo"
23027                           015 "Zmiešané"
23028                           021 "Vonkajší koniec"
23029                           015 "Vpravo"
23030                           031 "Formátovanie popisu osi..."
23031                           032 "Formátov.titulku diagramu..."
23032                           027 "Formátovanie popisu osi"
23033                           028 "Formátov.titulku diagramu"
23034                           016 "Lineárne"
23035                           021 "Logaritmicky"
23036                           019 "Potenciálne"
23037                           021 "Exponenciálne"
23038                           024 "Pohyblivı priemer"
23039                           019 "Spracovanie textu"
23040                           019 "Automaticky"
23041                           017 "Minimum"
23042                           017 "Maximum"
23043                           016 "Defin.uívate¾om"
23050                           017 "Ståpce"
23051                           014 "Pásy"
23052                           015 "Èiary"
23053                           017 "Profil"
23054                           014 "Koláèe"
23055                           022 "XY (rozptyl)"
23056                           014 "Plocha"
23057                           018 "Kruh"
23058                           015 "Radar"
23059                           019 "Portfólio:"
23060                           015 "Kurz"
23061                           017 "Plochy"
23062                           018 "Valec"
23063                           014 "Kue¾"
23064                           017 "Ihlan"
23065                           019 "Mí¾nik"
23066                           015 "Úrovne"
23067                           019 "Histogram"
23068                           020 "Tachometer"
23069                           018 "Kvadrant"
23070                           024 "Viacfarebné ståpce"
23090                           014 "Dáta"
23091                           020 "Symbol legendy"
24000                           018 "Poloka"
24001                           015 "Hodnota"
24002                           017 "Percento"
25100                           018 "Poh¾ad 3D"
25103                           021 "Vıška sledovania:"
25107                           023 "Perspektíva:"
25111                           020 "Otoèenie:"
25113                           023 "Autom.zmena mierky"
25114                           027 "Pravouhlé osi"
25115                           018 "Vıška:"
25118                           011 "%"
25119                           018 "Štandard"
25200                           019 "Zarovnanie"
25201                           024 "Zarovnanie textu"
25202                           022 "Horizontálne:"
25204                           020 "Vertikálne:"
25206                           020 "Pozícia:"
25208                           021 "Zarovnanie"
25300                           014 "Osi"
25301                           022 "Primárna os"
25302                           029 "Os kategórií (X)"
25303                           026 "Os hodnôt (Y)"
25304                           027 "Os radov (Z)"
25305                           024 "Sekundárna os"
25306                           029 "Os rubrík (X)"
25307                           025 "Os hodnôt (Y)"
25400                           019 "Zarovnanie"
25401                           021 "Zarovnanie"
25500                           014 "Èiara"
25501                           014 "Èiara"
25502                           020 "Automaticky"
25503                           016 "Defin.uívate¾om"
25504                           017 "Druh:"
25506                           017 "Farba:"
25508                           030 "Druh hlav.deliacej èiary"
25509                           015 "Bez"
25510                           016 "Vnútri"
25511                           017 "Vonku"
25512                           015 "Naprieè"
25513                           030 "Druh pomocnej deliacej èiary"
25514                           015 "Bez"
25515                           016 "Vnútri"
25516                           017 "Vonku"
25517                           015 "Naprieè"
25518                           026 "Popisy deliacich èiar"
25519                           015 "Bez"
25520                           013 "Nízke"
25521                           014 "Vysoké"
25522                           022 "V blízkosti osi"
25523                           016 "Náh¾ad"
25600                           014 "Osi"
25601                           024 "Dát.rad so vzahom k"
25602                           023 "Primárna os"
25603                           025 "Sekundárna os"
25700                           019 "Indikátor chyby"
25701                           017 "Zobrazenie"
25703                           022 "Mnostvo chıb"
25704                           023 "Konštantná hodnota:"
25705                           021 "Percentuálna hodn.:"
25706                           029 "Štandardná odchılka:"
25707                           024 "Štandardná chyba:"
25708                           017 "Prispôsobenie:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Rastrové èiary"
25801                           028 "Os kategórií (X)"
25802                           026 "Sie hlavnej mrieky"
25803                           026 "Sie pomocnej mrieky"
25804                           025 "Os hodnôt (Y)"
25805                           026 "Sie hlavnej mrieky"
25806                           026 "Sie pomocnej mrieky"
25807                           026 "Os radov (Z)"
25808                           026 "Sie hlavnej mrieky"
25809                           026 "Sie pomocnej mrieky"
25810                           028 "Os kategórií (X)"
25811                           026 "Sie hlavnej mrieky"
25812                           026 "Sie pomocnej mrieky"
25813                           025 "Os hodnôt (Y)"
25814                           026 "Sie hlavnej mrieky"
25815                           026 "Sie pomocnej mrieky"
25816                           022 "Primárna os"
25817                           024 "Sekundárna os"
25900                           014 "Èiara"
25901                           020 "Automaticky"
25902                           017 "Defin.uívate¾om"
25903                           014 "Èiara"
25904                           017 "Druh:"
25906                           017 "Farba:"
25908                           016 "Náh¾ad"
25909                           016 "Vrchol"
26000                           021 "Popisy dát"
26001                           021 "Popisy dát"
26002                           015 "iadne"
