_SAPPCTXT_HEADER_               002 8000 CHART HE 1800 OK 
26011                           036 "הצג תווית וגודל Bubble"
26100                           016 "מקרא"
26101                           014 "סוג"
26103                           027 "פריטי Bubble לסימוכין"
26104                           018 "גלוי"
26105                           024 "גודל מקסימלי:"
26108                           019 "ניתן להעברה"
26109                           025 "הצג לפי דרישה"
26200                           014 "קו"
26201                           014 "קו"
26202                           020 "אוטומטי"
26203                           017 "&מותאם"
26204                           017 "סגנון:"
26206                           017 "צבע:"
26208                           017 "יישור"
26209                           016 "סמן"
26210                           020 "אוטומטי"
26211                           015 "כלום"
26212                           017 "מותאם אישית"
26213                           017 "סגנון:"
26215                           022 "קדמה:"
26217                           022 "רקע:"
26219                           016 "גודל:"
26222                           016 "דגימה"
26223                           016 "עיקרי:"
26226                           016 "גודל"
26227                           017 "משקל:"
26300                           016 "מספר"
26301                           020 "קטגוריה:"
26303                           026 "פורמטי מספר:"
26305                           016 "דגימה"
26306                           016 "סטטי"
26307                           025 "פורמט מספר:"
26400                           015 "צורה"
26401                           017 "צורות:"
26500                           017 "דפוס"
26501                           014 "מילוי"
26502                           020 "אוטומטי"
26503                           016 "צבע"
26504                           018 "דפוס"
26505                           019 "שיפוע"
26506                           018 "מרקם"
26507                           016 "סטטי"
26509                           016 "סטטי"
26511                           016 "סטטי"
26513                           022 "אפקטים בשלושה מימדים"
26514                           016 "גבול"
26515                           020 "אוטומטי"
26516                           017 "&מותאם"
26517                           017 "סגנון:"
26519                           017 "צבע:"
26521                           017 "צל"
26522                           016 "דגימה"
26523                           022 "שקוף"
26525                           018 "דפוס:"
26526                           015 "תמונה"
26527                           025 "עיון בתמונות..."
26600                           019 "קו מגמה"
26601                           031 "סוג רגרסיה/מגמה"
26603                           026 "שם קו מגמה:"
26605                           020 "אוטומטי"
26606                           018 "תחזית"
26607                           019 "קדימה:"
26610                           020 "חזרה:"
26613                           019 "תקופות:"
26616                           036 "הצג משוואה בתרשים"
26700                           015 "דירוג"
26701                           015 "דירוג"
26702                           029 "סקאלת ציר קטגוריה"
26703                           033 "ציר ערך מצטלב ב:"
26705                           057 "מספר קטגוריות בין תוויות סימון:"
26707                           051 "מספר קטגוריות בין סימונים:"
26709                           048 "ציר ערך מצטלב בין קטגוריות"
26710                           038 "קטגוריות בסדר הפוך"
26712                           020 "אוטומטי"
26713                           040 "מספר קטגוריות הנראות לעין:"
26715                           036 "התחלה במספר קטגוריה:"
26800                           015 "דירוג"
26801                           027 "סקאלת ציר של סדרה"
26802                           053 "מספר סדרות בין תוויות סימון:"
26804                           047 "מספר סדרות בין סימונים:"
26806                           034 "סדרות בסדר הפוך"
26900                           015 "דירוג"
26901                           026 "סקאלת ציר ערך"
26902                           016 "סוג:"
26904                           021 "רוחב רווח:"
26907                           014 "אוטומטי"
26908                           019 "מינימום:"
26911                           019 "מקסימום:"
26914                           022 "יחידה עיקרית:"
26919                           018 "פורמט:"
26921                           022 "יחידה משנית:"
26926                           018 "פורמט:"
26928                           036 "ציר קטגוריה מצטלב ב:"
26931                           034 "ערכים בסדר הפוך"
26933                           025 "רוחב של יום:"
26936                           027 "תצוגה מתחילה ב:"
26938                           030 "קו בזמן בפועל"
26939                           035 "הצג יחידות זמן שלמות"
26940                           027 "חגים צבועים"
26942                           015 "תאריך:"
27000                           017 "אפשרויות"
27001                           016 "סטטי"
27005                           038 "גודל של אזור התרשים השני"
27008                           016 "מעלה"
27009                           023 "עומק תרשים:"
27013                           039 "אלמנט תרשים שני מכיל:"
27016                           016 "ערכים"
27018                           031 "גיוון צבעים באמצעות נקודה"
27019                           025 "שורות גבוהות-נמוכות"
27020                           023 "שורות למעלה-למטה"
27021                           026 "גודל מיוצג"
27022                           030 "אזור הבועות"
27023                           034 "קוטר של הבועות"
27024                           024 "חיתוך סדרות לפי:"
27026                           036 "מיקום/אזורי סטייה שלילית"
27027                           022 "טווחי ערכים"
27029                           017 "הוסף..."
27030                           018 "ערוך..."
27031                           017 "הסר"
27033                           024 "לסדר תחילה"
27034                           020 "אוטומטי"
27100                           020 "סוג תרשים"
27101                           022 "סוג תרשים:"
27103                           025 "סוג משנה של תרשים:"
27105                           033 "הקצה לכל שורות הנתונים"
27200                           015 "ערך"
27201                           018 "ציר X:"
27204                           018 "ציר Y:"
27207                           020 "קוטר:"
27300                           021 "טווח ערכים"
27301                           017 "מינימום"
27302                           017 "כותרת:"
27304                           020 "אוטומטי"
27305                           019 "בלתי נראה"
27306                           016 "ערך:"
27309                           017 "מקסימום"
27310                           017 "כותרת:"
27312                           020 "אוטומטי"
27313                           019 "בלתי נראה"
27314                           016 "ערך:"
27317                           017 "אופטימלי"
27318                           017 "כותרת:"
27320                           019 "אוטומטית"
27321                           019 "בלתי נראה"
27322                           016 "ערך:"
27325                           020 "מיקום:"
27326                           020 "מיקום:"
27327                           020 "מיקום:"
27400                           015 "כותרת"
27401                           015 "תרשים"
27403                           028 "ציר קטגוריה (X):"
27405                           025 "ציר ערך (Y):"
27407                           038 "ציר קטגוריה משני (X):"
27409                           035 "ציר ערך משני (Y):"
27411                           019 "ניתן להעברה"
27412                           019 "ניתן לעריכה"
27413                           017 "כותרת:"
27414                           017 "כותרת:"
27415                           017 "כותרת:"
27416                           016 "כותרת:"
27417                           016 "כותרת:"
27418                           016 "יחידה:"
27419                           016 "יחידה:"
27420                           015 "יחידה"
27421                           015 "יחידה"
27500                           020 "טבלת נתונים"
27501                           026 "הצג טבלת נתונים"
27502                           027 "הצג מפתחות מקרא"
27600                           029 "התפלגות נורמלית"
27601                           029 "שם התפלגות:"
27603                           020 "אוטומטי"
27604                           016 "אמצעי:"
27606                           030 "סטיית תקן:"
27608                           032 "הצג שם בתרשים"
27700                           019 "קואורדינטות"
27701                           016 "מרכז"
27702                           018 "ציר X:"
27705                           018 "ציר Y:"
27708                           016 "צבעים"
27709                           019 "פינה שמאלית-עליונה:"
27711                           020 "פינה ימנית-עליונה:"
27713                           023 "פינה שמאלית-תחתונה:"
27715                           023 "פינה ימנית-תחתונה:"
27719                           018 "גלוי"
27800                           028 "סדרות טווחי ערכים"
27801                           016 "מ-:"
27804                           014 "עד:"
27807                           017 "צבע:"
27900                           017 "אפשרויות"
27901                           019 "עמודות:"
27903                           015 "שורות"
27906                           017 "כותרת:"
27908                           018 "גלוי"
27910                           018 "מיקום"
27911                           017 "&מותאם"
27912                           020 "אוטומטי"
27913                           019 "ניתן להעברה"
28000                           017 "אפשרויות"
28001                           017 "כותרת:"
28003                           018 "גלוי"
28004                           017 "רוחב:"
28007                           020 "אוטומטי"
28008                           021 "יישור:"
28010                           016 "סוג:"
28012                           029 "אפשר עריכת נתונים"
28100                           017 "אפשרויות"
28101                           028 "אובייקטי דירוג אוטומטי"
28103                           024 "שורות גלויות:"
28106                           030 "הצג ערכים ריקים"
28107                           021 "לא משורטט"
28108                           022 "משובץ"
28109                           014 "אפס"
28200                           016 "לחצן"
28201                           016 "כותרת:"
28203                           017 "רוחב:"
28206                           018 "גובה:"
28209                           025 "מרווח אנכי:"
28212                           028 "מרווח אופקי:"
28216                           020 "מיקום:"
28300                           014 "תא"
28301                           020 "מפתח מקרא"
28302                           018 "סדרות:"
28305                           017 "נקודה:"
28308                           021 "טבלאות משתמשים"
28400                           017 "מצביע"
28401                           023 "תווית מצביע"
28402                           017 "תווית:"
28500                           017 "אפשרויות"
28501                           018 "מיקום"
28502                           019 "פינה שמאלית עליונה"
28503                           020 "פינה ימנית עליונה"
28600                           017 "אפשרויות"
28601                           018 "מיקום"
