_SAPPCTXT_HEADER_               002 8000 CHART HE 1800 OK 
18003                           022 "סגנון גופן:"
18005                           016 "גודל:"
18007                           017 "צבע:"
18009                           017 "תוצאות"
18010                           024 "מחיקה ישירה"
18011                           020 "מתיחת קו"
18012                           017 "תצוגה מקדימה"
18013                           019 "גרפיטי"
18600                           015 "הדפס"
18601                           017 "מדפסת"
18604                           024 "הדפס לקובץ"
18605                           024 "תכונות..."
18606                           021 "טווח הדפסה"
18607                           014 "הכול"
18608                           022 "החל מעמוד:"
18611                           014 "עד:"
18614                           016 "עותקים"
18615                           028 "מספר עותקים:"
18619                           018 "התאמה"
18620                           024 "תצוגה מקדימה של הדפסה"
18621                           024 "הגדרת עמוד..."
18700                           014 "דף"
18701                           022 "גודל נייר:"
18703                           025 "איכות הדפסה:"
18705                           021 "אוריינטציה"
18706                           019 "אנכי"
18707                           021 "אופקי"
18708                           016 "מרכז"
18709                           023 "במאוזן"
18710                           021 "במאונך"
18800                           022 "גבולות הדף"
18801                           016 "גבול"
18802                           016 "שמאל:"
18805                           017 "ימין:"
18808                           015 "למעלה:"
18811                           018 "למטה:"
18814                           017 "שוליים"
18815                           018 "כותרת:"
18818                           018 "כותרת תחתונה:"
18821                           017 "תצוגה מקדימה"
18900                           017 "אפשרויות"
18901                           017 "דירוג"
18902                           017 "דירוג:"
18905                           018 "מתאים ל:"
18908                           017 "דפים"
18909                           019 "אנכי"
18910                           021 "אופקי"
18911                           021 "אפשרויות..."
19000                           015 "הדפס"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "DHM,"
20017                           114 "שולי ההדפסה רחבים יותר מאלה של העמוד. האם צריך להתאים את השוליים האלה לעמוד?"
20018                           056 "עליך לבחור מדפסת כדי לאפשר הדפסה."
20019                           020 "הגדר עמוד"
20020                           014 "אוטומטי"
20023                           041 "אין מספיק משאבים פנויים"
20024                           029 "שגיאה בעת שמירה"
20025                           030 "שגיאה בעת טעינה"
20026                           017 "צבע:"
20027                           022 "קדמה:"
20028                           022 "רקע:"
20029                           023 "צבע פתח:"
20030                           016 "מ-:"
20031                           014 "עד:"
20032                           019 "דפוס:"
20033                           017 "פתח:"
20034                           020 "שיפוע:"
